STATION_ID,STATION_NAME,STATION_X,STATION_Y,target,level,level-target
3375,하례1리복지회관,126.62893,33.26905,56,3,3&56
3376,하례1리복지회관,126.62421,33.26814,56,3,3&56
3379,모구리야영장,126.81707,33.405590000000004,13,3,3&13
3380,모구리야영장,126.81815,33.40595,13,3,3&13
3470,덕수2리교차로,126.31418,33.27668,8,3,3&8
3471,덕수2리교차로,126.31209,33.275290000000005,8,3,3&8
4060,양수동입구,126.85958,33.43843,36,3,3&36
4061,양수동입구,126.85867,33.43854,36,3,3&36
4154,왕대왓,126.48241000000002,33.23465,40,3,3&40
4155,왕대왓,126.48362,33.23434,40,3,3&40
4186,도순거린내,126.47498,33.25895,10,3,3&10
